tkr,entry_date,entry,stop0,risk_pct,entry_to_stop_pct,half_date,half_px,exit_date,exit_px,reason,held_weeks,R,net_pnl,stt_paid
THYROCARE,2017-01-02,186.36,177.49,2.0,5.0,,,2017-04-03,194.36,time,13,0.901,12616.46,858.02
GREENPLY,2017-01-02,250.87,231.01,2.0,8.6,,,2017-04-03,274.46,time,13,1.188,20422.7,529.12
FRETAIL,2017-01-27,165.69,153.81,2.0,7.72,2017-02-13,210.27,2017-05-02,304.51,time,13,6.844,152719.52,717.47
ABB,2017-02-13,1097.28,964.91,2.0,13.72,,,2017-05-15,1354.02,time,13,1.94,41436.42,409.31
BPCL,2017-04-17,139.74,130.34,2.0,7.21,,,2017-06-19,129.95,stop,9,-1.042,-28373.94,744.97
ABFRL,2017-04-03,152.14,147.17,2.0,3.38,2017-04-17,176.44,2017-07-03,170.63,time,13,2.856,93029.77,1507.51
AARTIIND,2017-05-02,207.53,186.58,2.0,11.23,,,2017-07-31,231.9,time,13,1.163,27966.36,543.75
3MINDIA,2017-05-15,11798.33,10497.77,2.0,12.39,,,2017-08-14,12680.93,time,13,0.679,14789.38,497.04
ELGIEQUIP,2017-07-31,117.62,104.7,2.0,12.34,,,2017-08-21,105.79,stop,3,-0.916,-27499.19,463.95
AIAENG,2017-06-19,1354.15,1256.37,2.0,7.78,,,2017-09-04,1253.31,stop,11,-1.031,-30010.54,711.61
AXISBANK,2017-07-03,509.31,477.15,2.0,6.74,,,2017-10-03,511.23,time,13,0.06,67.91,827.49
HATSUN,2017-08-14,436.24,372.3,2.0,17.18,,,2017-11-13,514.82,time,13,1.229,29056.62,380.72
BOMDYEING,2017-08-21,74.78,68.96,2.0,8.45,2017-09-04,117.5,2017-11-20,180.1,trail,13,10.037,321418.71,981.32
AARTIIND,2017-09-04,208.99,193.89,2.0,7.79,,,2017-12-04,216.57,time,13,0.502,9443.21,821.25
SCHAEFFLER,2017-09-04,952.76,775.09,2.0,22.92,,,2017-12-04,969.81,time,13,0.096,1124.73,315.36
ATUL,2017-10-03,2326.7,2157.04,2.0,7.87,,,2018-01-01,2627.23,time,13,1.771,50213.58,923.63
CAPLIPOINT,2017-12-04,638.58,600.25,2.0,6.39,,,2018-01-22,597.36,stop,7,-1.075,-43021.56,1085.03
BERGEPAINT,2018-01-01,221.34,206.02,2.0,7.44,,,2018-01-22,197.58,stop,3,-1.551,-55344.64,919.17
AJANTPHARM,2018-01-22,956.42,906.91,2.0,5.46,,,2018-02-05,836.94,stop,2,-2.413,-83611.42,1192.39
FINCABLES,2017-11-13,584.71,499.39,2.0,17.08,,,2018-02-12,630.1,time,13,0.532,14866.4,478.51
AUBANK,2017-11-20,333.69,295.51,2.0,12.92,,,2018-02-12,294.96,stop,12,-1.014,-35214.61,540.84
