tkr,sig_date,entry_date,entry,trig,stop0,risk_pct,half_date,half_px,exit_date,exit_px,reason,held,R,gap_through,net_pnl,stt_paid
STAR,2017-01-09,2017-01-10,1014.13,1013.26,952.31,2.0,,,2017-02-01,952.31,stop,15,-1.0,True,-21989.63,629.41
HCC,2017-01-02,2017-01-03,38.76,38.22,35.9,2.0,,,2017-02-14,35.9,stop,29,-1.0,False,-21825.9,521.68
GAYAPROJ,2017-02-01,2017-02-03,131.27,127.85,122.03,2.0,,,2017-03-14,132.98,ma_breach,25,0.185,False,92.79,545.2
GREENPLY,2017-02-03,2017-02-07,275.09,264.43,253.14,2.0,,,2017-03-23,267.68,ma_breach,30,-0.338,False,-9655.73,483.94
FCONSUMER,2017-01-20,2017-01-23,23.15,23.15,21.83,2.0,2017-02-07,25.793698093414307,2017-03-28,27.61,trail,43,2.685,False,47887.61,737.84
GREENPLY,2017-03-27,2017-03-28,276.01,276.01,262.23,2.0,,,2017-04-03,274.46,ma_breach,4,-0.113,False,-7680.54,842.59
EROSMEDIA,2017-02-10,2017-02-14,209.25,205.4,187.31,2.0,2017-03-23,253.125,2017-04-12,241.94,trail,38,1.745,False,33574.61,427.67
RNAVAL,2017-04-20,2017-04-24,18438.75,18438.75,17609.87,2.0,,,2017-05-02,17609.87,stop,5,-1.0,False,-25534.35,963.8
RNAVAL,2017-05-08,2017-05-10,18507.5,18053.75,17623.61,2.0,,,2017-05-18,17623.61,stop,6,-1.0,False,-24395.22,872.4
GAYAPROJ,2017-03-28,2017-03-29,136.59,136.21,128.57,2.0,2017-04-17,152.61159338378906,2017-05-19,146.07,trail,34,1.592,False,28529.5,744.71
HCC,2017-05-17,2017-05-18,41.9,41.9,39.12,2.0,,,2017-05-19,39.12,stop,1,-1.0,False,-23325.81,617.78
FCONSUMER,2017-04-03,2017-04-05,30.65,30.6,29.07,2.0,2017-04-06,33.808198093414305,2017-05-22,31.26,trail,31,1.194,False,21935.37,833.02
